scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
1,1,0,2437,96:33:56:57:7a:84,iPhone (3),-69
2,1,0,2457,34:60:f9:a1:88:62,,-64
3,1,0,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-77
4,1,0,5805,34:60:f9:a1:88:63,,-87
5,1,0,2457,bc:22:28:21:09:24,CSE-205,-50
6,1,0,2432,5c:e9:31:22:be:d6,,-72
7,1,0,5785,bc:22:28:21:09:22,,-63
8,1,0,5785,bc:22:28:21:09:21,CSE-205,-63
9,1,0,2462,26:94:5a:1b:90:4d,Tatakae🥷,-52
10,1,0,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-68
11,1,0,5785,66:79:f0:36:84:ea,DIRECT-DCLAPTOP-LIA41UT4msFN,-76
12,1,0,5785,bc:22:28:21:09:b7,,-89
13,1,0,2457,34:60:f9:a1:8b:8e,,-71
14,1,0,2432,5e:a9:31:22:be:d6,CSE-LAB,-72
15,1,0,2457,36:20:f9:a1:88:62,CSE OFFICE,-63
16,1,0,2432,60:63:4c:31:37:40,CSE-303,-58
17,1,0,2412,aa:bb:60:c1:1d:bd,Tanveer's Galaxy A32,-64
18,1,0,2437,8e:94:9f:cb:b9:b0,Fuad's A54,-56
19,1,0,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-58
20,1,0,2462,8e:f6:fd:8d:6d:a4,POCO X3 Pro,-61
21,1,1,2437,96:33:56:57:7a:84,iPhone (3),-68
22,1,1,2437,46:44:d1:b3:33:78,Galaxy M12 396F,-59
23,1,1,2457,34:60:f9:a1:88:62,,-66
24,1,1,2472,5c:e8:d3:0a:1e:e0,!FreeNet,-76
25,1,1,2457,bc:22:28:21:09:24,CSE-205,-50
26,1,1,5785,bc:22:28:21:09:22,,-60
27,1,1,5785,bc:22:28:21:09:21,CSE-205,-59
28,1,1,2462,26:94:5a:1b:90:4d,Tatakae🥷,-71
29,1,1,5765,bc:22:28:21:55:6c,,-92
30,1,1,2437,30:b5:c2:ea:5b:44,DataLab@BUET,-70
31,1,1,5765,bc:22:28:21:55:6b,CSE-104,-92
